Probe_ID	Gene_Symbol
160682	AGTR1
940040	AGTR1
5550437	AGTR2
4610220	AGTRAP
4900685	AGTRAP
270709	AGXT
6350753	AGXT2
2360762	AGXT2L1
2600768	AGXT2L1
870139	AGXT2L2
5690082	AGXT2L2
1230196	AHCTF1
6040747	AHCTF1
6220427	AHCTF1
3710537	AHCY
1170440	AHCYL1
870039	AHCYL2
4250376	AHDC1
5860253	AHI1
450553	AHNAK
2810482	AHNAK
3710400	AHNAK
5260594	AHNAK2
4890672	AHR
6060367	AHR
5560433	AHRR
4880561	AHSA1
1170220	AHSA2
2320377	AHSG
2350274	AHSP
6110358	AICDA
4640445	AIDA
1940047	AIF1
3800047	AIF1
6520154	AIF1
1410021	AIF1L
4010647	AIF1L
1500689	AIFM1
1940577	AIFM1
3290341	AIFM1
5420414	AIFM1
270612	AIFM2
4260551	AIFM3
3940056	AIG1
580255	AIM1
610397	AIM1L
4220376	AIM1L
6620386	AIM1L
7000082	AIM1L
130753	AIM2
1260270	AIM2
6960056	AIMP2
610689	AIP
240142	AIPL1
3610138	AIPL1
2000093	AIRE
5820386	AIRE
5820689	AIRE
1300647	AJAP1
5360195	AJAP1
6480484	AJAP1
5130162	AK1
1990491	AK2
3140441	AK2
5720669	AK2
5090554	AK2P2
670463	AK3
160148	AK3L1
1470681	AK3L1
4290192	AK3L1
4610554	AK3L1
2680220	AK5
5960209	AK5
6270148	AK5
2760470	AK7
4810494	AKAP1
7040288	AKAP1
460020	AKAP10
1070484	AKAP11
1450333	AKAP11
4570717	AKAP11
5720731	AKAP11
6420398	AKAP11
670041	AKAP12
3290564	AKAP12
6900706	AKAP12
6940475	AKAP12
650050	AKAP13
2060341	AKAP13
3940440	AKAP13
270192	AKAP14
270497	AKAP14
3850102	AKAP14
2970162	AKAP2
3610068	AKAP2
6840608	AKAP2
4860088	AKAP3
510008	AKAP4
5560450	AKAP4
7100575	AKAP4
3800189	AKAP5
1510224	AKAP6
2370220	AKAP7
4780619	AKAP7
5340504	AKAP7
6380689	AKAP7
6550053	AKAP8
5340593	AKAP8L
3170630	AKAP9
3290592	AKAP9
520040	AKIRIN1
1260544	AKIRIN1
5820133	AKIRIN1
5690202	AKIRIN2
2850010	AKNA
3130605	AKNAD1
1500504	AKR1A1
5550543	AKR1A1
6130424	AKR1A1
4260139	AKR1B1
5310646	AKR1B10
2760274	AKR1B15
1010358	AKR1C1
1510528	AKR1C2
3610767	AKR1C2
4900113	AKR1C2
5340129	AKR1C2
6510692	AKR1C2
7200563	AKR1C2
7210632	AKR1C3
2650736	AKR1C4
